,Name,Certificates
0,#FollowFriday (2016),:Unrated
1,#OpenSeason (2017),:Unrated
2,#murderchallenge (2017),:Unrated
3,$ (1971),:R
4,$10 Raise (1935),:Approved
5,$10 Raise (1935),:Passed(National Board of Review)
6,$21 a Day - (Once a Month) (1941),:Approved(PCA #7585)
7,$5 a Day (2008),:PG-13
8,$50K and a Call Girl: A Love Story (2014),:R
9,$9.99 (2008),:R
10,$windle (2002),:R(certificate #39843)
11,'11' (1980),:X(self applied)
12,'49-'17 (1917),:Unrated
13,'68 (1988),:R(certificate #34260)
14,'71 (2014),:R
15,'79 Parts (2016),:PG-13
16,'A' gai wak (1983),:PG-13
17,'A' gai wak 2 (1987),:PG-13(certificate #39807) (2003)
18,'Breaker' Morant (1980),:PG(certificate #26184)
19,'Code Name': Oriental Treatment (1977),:X(self applied)
20,'Crocodile' Dundee II (1988),:PG(certificate #29155)
21,'Doc' (1971),:PG
22,'Doc' (1971),:R(original rating)
23,'Ello 'Ello! Lust in France (2010),:X(self-applied)
24,'F' (1980),:X
25,'Fraidy Cat (1951),:Approved
26,'Fraidy Cat (1951),:Passed(National Board of Review)
27,'Fun on a Week-End' (1947),:Approved(PCA #11927)
28,'G' Men (1935),:Approved(PCA #745)
29,'Gator Bait (1974),:R
30,'Gung Ho!': The Story of Carlson's Makin Island Raiders (1943),:Approved(MPPDA rating: certificate #9775)
31,'Hit-and-Run Driver' (1935),:Approved
32,'How Do I Love Thee? Let Me Count the Lays.....!' (1979),:X(self applied)
33,'I Know Where I'm Going!' (1945),:Approved(certificate #11820)
34,'Master Harold' ... And the Boys (2010),:PG-13
35,"'Morning, Judge (1926)",:Passed(National Board of Review)
36,'Neath Brooklyn Bridge (1942),:Approved(PCA #8787)
37,'Neath Canadian Skies (1946),:Approved(certificate #11792)
38,'Neath the Arizona Skies (1934),:Unrated
39,'Necromania': A Tale of Weird Love! (1971),:X
40,'Necromania': A Tale of Weird Love! (1971),:R(edited for re-rating)
41,'Northwest Passage' (Book I -- Rogers' Rangers) (1940),:Passed(National Board of Review)
42,'Northwest Passage' (Book I -- Rogers' Rangers) (1940),:Approved(PCA #5725)
43,'Oh!...... Miss Bodie' (1972),:X(self applied)
44,'Pimpernel' Smith (1941),:Passed
45,'R Xmas (2001),:R
46,'Round Midnight (1986),:R
47,'S.M.A.S.H-H. or How to Get Hung' (1971),:X
48,"'Sheba, Baby' (1975)",:PG
49,'Sno Fun (1951),:Approved
50,'Sno Fun (1951),:Passed
51,'Super-Nana' Agent Secret (1983),:X
52,"'Sweet Dreams, Suzan' (1980)",:X
53,'Sweet Punkin' I Love You.... (1976),:X(self applied)
54,'Taint Legal (1940),:Approved
55,'Taint Legal (1940),:Passed(National Board of Review)
56,'Til There Was You (1997),:PG-13
57,'Til We Meet Again (1940),:Approved(PCA #6006)
58,'Tis the Season (2007),:G
59,'V': The Hot One (1978),:X(self applied)
60,'What's Your 'I.Q.'?': Number Two (1940),:Approved
61,'n schot in de roos (1983),:X
62,"'night, Mother (1986)",:PG-13(certificate #28233)
63,(500) Days of Summer (2009),:PG-13(certificate #45018)
64,(Dean) (2016),:PG-13(certificate #50565)
65,(M)uchenik (2016),:PG-13
66,(Mis)Leading Man (2008),:PG-13
67,(Untitled) (2009),:R(certificate #45463)
68,*batteries not included (1987),:PG(Certificate #28866)
69,-But the Flesh Is Weak (1932),:Passed(National Board of Review)
70,-But the Flesh Is Weak (1932),:Approved(certificate number not assigned at release)
71,...4 ..3 ..2 ..1 ...morte (1967),:G
72,...All the Marbles (1981),:R(certificate #26129)
73,...E tu vivrai nel terrore! L'aldilà (1981),:R(certificate #27118) (1983) (original rating) (cut)
74,...Indovina chi viene a cena? (1999),:X(self-applied)
75,...No Lies (1973),:R
76,...One Third of a Nation... (1939),:Approved
77,...Più forte ragazzi! (1972),:PG
78,...altrimenti ci arrabbiamo! (1974),:G
79,...and justice for all. (1979),:R(certificate #25623)
80,"...en fin, el mar (2005)",:PG-13
81,...la main à couper (1974),:PG
82,...som havets nakna vind (1968),:X
83,...som havets nakna vind (1968),:R(re-rating)
84,...tick... tick... tick... (1970),:G
85,.357 Magnum (1977),:R
86,.45 (2006),:R
87,.com for Murder (2002),:Unrated
88,00Q: The Cloning Catastrophe (2007),:Approved
89,1 Love (2003),:PG(certificate #40153)
90,1 homme de trop (1967),:Approved(Suggested for Mature Audiences)
91,"1,000 Dollars a Minute (1935)",:Approved
92,"1,000 Dollars a Minute (1935)",:Passed(National Board of Review)
93,"1,332 Feet Below the Sea (2001)",:PG
94,"1,332 Feet Below the Sea (2001)",:PG-13
95,1. April 2000 (1952),:Approved
96,1. April 2000 (1952),:Passed(National Board of Review)
97,10 (1979),:R(certificate #25729)
98,10 1/2 Weeks (1986),:X
99,10 Cent Pistol (2014),:Unrated
100,10 Cent Pistol (2014),:R(certificate #49811; rating surrendered)
101,10 Cloverfield Lane (2016),:PG-13(certificate #50291)
102,10 Days in a Madhouse (2015),:R
103,10 Items or Less (2006),:R
104,10 Questions for the Dalai Lama (2006),:Unrated
105,10 Rillington Place (1971),:PG
106,10 Rillington Place (1971),:GP(original rating)
107,10 Rules for Sleeping Around (2013),:R
108,10 Things I Hate About You (1999),:PG-13(certificate #36528)
109,10 Years (2011),:PG-13
110,10 to Midnight (1983),:R(Certificate #26973)
111,"10,000 BC (2008)",:PG-13(certificate #43907)
112,"10,000 Saints (2015)",:R(certificate #49574)
113,10.0 Earthquake (2014),:PG
114,10.000 Km (2014),:R
115,100 Feet (2008),:R(certificate #44241)
116,100 Ghost Street: The Return of Richard Speck (2012),:R
117,100 Girls (2000),:R
118,100 Mile Rule (2002),:R(certificate #40407)
119,100 Pigmies and Andy Panda (1940),:Approved
120,100 Proof (1997),:Unrated
121,100 Rifles (1969),:PG
122,100 Rifles (1969),:R(original rating)
123,100 Tears (2007),:NC-17(certificate #44036)
124,1000 Waves to Surfing Glory: Pop up Edition (2015),:G
125,101 Dalmatians (1996),:G(Certificate #34935)
126,102 Dalmatians (2000),:G(Certificate #37807)
127,1040 Not So EZ (2017),:R(certificate #50968)
128,1075 (2008),:PG-13
129,108 Stitches (2014),:R
130,10th & Wolf (2006),:R
131,11 Harrowhouse (1974),:PG
132,11 settembre 1683 (2012),:R
133,11'09''01 - September 11 (2002),:Unrated
134,11-11-11 (2011),:PG-13
135,11:11 (2004),:R
136,11:14 (2003),:R(certificate #39764)
137,11th. Naval District 'United States Coast Guard Band' (1944),:Approved(PCA #9580)
138,12 (2007),:PG-13(certificate #44488)
139,12 + 1 (1969),:R
140,12 Angry Men (1957),:Approved(PCA #18206)
141,12 Dog Days of Christmas (2014),:Unrated
142,12 Dogs of Christmas: Great Puppy Rescue (2012),:PG
143,12 O'clock (2000),:R(original rating)
144,12 Rounds (2009),:PG-13(certificate #44875)
145,12 Rounds 2: Reloaded (2013),:R
146,12 Rounds 3: Lockdown (2015),:R(certificate #49542)
147,12 Steps Nowhere (2005),:Unrated
148,12 Strong (2018),:R(certificate #51285)
149,12 Years a Slave (2013),:R(certificate #48296)
150,12 and Holding (2005),:R
151,12 at Noon (1977),:X
152,12 horas (2001),:R
153,12 stulev (1971),:PG-13
154,12-12-12 (2013),:R
155,12/12/12 (2012),:R
156,127 Hours (2010),:R(certificate #46305)
157,13 (2010/I),:R(certificate #45723)
158,13 Dead Men (2003),:R(certificate #40201)
159,13 Fighting Men (1960),:Approved(PCA #19525)
160,13 Frightened Girls (1963),:Approved
161,13 Frightened Girls (1963),:Passed
162,13 Ghosts (1960),:Approved(No. 19630)
163,13 Going on 30 (2004),:PG-13(certificate #40114)
164,13 Hours (2016),:R(certificate #50183)
165,13 Hours in a Warehouse (2008),:R
166,13 Hrs (2010),:R
167,13 Lead Soldiers (1948),:Approved
168,13 Lead Soldiers (1948),:Passed(National Board of Review)
169,13 Moons (2002),:R(certificate #38500)
170,13 Rue Madeleine (1946),":Approved(MPAA rating: certificate #11740, General Audience)"
171,13 Sins (2014),:R
172,13 West Street (1962),:Passed(National Board of Review)
173,13 West Street (1962),:Approved(certificate #20049)
174,13 game sayawng (2006),:R
175,13 game sayawng (2006),:Unrated(DVD rating)
176,13th Child (2002),:R
177,14 Carrot Rabbit (1952),:Approved(certificate #14162)
178,14 Days in Great Britain (2006),:Unrated
179,14 Million Dreams (2004),:PG
180,1408 (2007),:PG-13(certificate #43561)
181,1492: Conquest of Paradise (1992),:PG-13
182,15 Minutes (2001),:R(certificate #36845)
183,15 Till Midnight (2010),:R
184,15 años y un día (2011),:R
185,16 Blocks (2006),:PG-13(Certificate #41681)
186,16 Days of Glory (1986),:G
187,16 Fathoms Deep (1948),:Approved(PCA #12957)
188,16 Stones (2014),:PG
189,16 Years of Alcohol (2003),:R
190,16-Love (2012),:PG
191,1666 (2011),:R
192,17 Again (2009),:PG-13(certificate #44550)
193,17 Miracles (2011),:PG
194,1732 Høtten (1998),:R
195,1776 (1972),:G(certificate #23246)
196,1776 (1972),:PG(longer video version)
197,18 Again! (1988),:PG(certificate #29048)
198,18 Million Orphans (1945),:Approved
199,18 Million Orphans (1945),:Passed(National Board of Review)
200,18 Minutes (1935),:Approved
